entry_validity,rr,sweep_lookback,swing_lookback,sharpe,cagr,pf,winrate,total_return,max_dd,n_trades,asset,tf
3,2.0,5,5,-6.462542835264851,-0.4033232398071316,0.46825120739875065,0.3058589870903674,-0.6424425697236704,-0.6438801829520802,1007,SP500,1h / 1h  (≈2 yr)
3,2.0,5,10,-5.376936782319488,-0.33690088091332926,0.48269869006574434,0.3029891304347826,-0.5589787192511999,-0.5589787192512,736,SP500,1h / 1h  (≈2 yr)
3,2.0,5,15,-4.219142897290004,-0.25898586609616847,0.5325086154280941,0.3178694158075601,-0.4487911738746202,-0.44986663404109345,582,SP500,1h / 1h  (≈2 yr)
3,2.0,5,20,-4.421926801568349,-0.2531175028807896,0.4673275792561094,0.2863157894736842,-0.4400453032968583,-0.4434739616316673,475,SP500,1h / 1h  (≈2 yr)
3,2.0,10,5,-6.462542835264851,-0.4033232398071316,0.46825120739875065,0.3058589870903674,-0.6424425697236704,-0.6438801829520802,1007,SP500,1h / 1h  (≈2 yr)
3,2.0,10,10,-5.376936782319488,-0.33690088091332926,0.48269869006574434,0.3029891304347826,-0.5589787192511999,-0.5589787192512,736,SP500,1h / 1h  (≈2 yr)
3,2.0,10,15,-4.219142897290004,-0.25898586609616847,0.5325086154280941,0.3178694158075601,-0.4487911738746202,-0.44986663404109345,582,SP500,1h / 1h  (≈2 yr)
3,2.0,10,20,-4.421926801568349,-0.2531175028807896,0.4673275792561094,0.2863157894736842,-0.4400453032968583,-0.4434739616316673,475,SP500,1h / 1h  (≈2 yr)
3,2.0,15,5,-6.462542835264851,-0.4033232398071316,0.46825120739875065,0.3058589870903674,-0.6424425697236704,-0.6438801829520802,1007,SP500,1h / 1h  (≈2 yr)
3,2.0,15,10,-5.376936782319488,-0.33690088091332926,0.48269869006574434,0.3029891304347826,-0.5589787192511999,-0.5589787192512,736,SP500,1h / 1h  (≈2 yr)
