entry_validity,rr,sweep_lookback,swing_lookback,sharpe,cagr,pf,winrate,total_return,max_dd,n_trades,asset,tf
3,2.0,5,5,-5.8524403178119195,-0.45451826265411577,0.5082882057635998,0.29968782518210196,-0.7007165318992021,-0.7038254443504753,961,Nasdaq,1h / 1h  (≈2 yr)
3,2.0,5,10,-5.173797736869189,-0.4054263945787637,0.49825426979662685,0.3,-0.6451167351372213,-0.6482708600917979,720,Nasdaq,1h / 1h  (≈2 yr)
3,2.0,5,15,-4.56510997004227,-0.33987097848687386,0.5081007220801543,0.2949389179755672,-0.561911160505763,-0.563046451170187,573,Nasdaq,1h / 1h  (≈2 yr)
3,2.0,5,20,-5.06333966967054,-0.33186887566311063,0.4313595507594712,0.27510917030567683,-0.5516043442479562,-0.5551937217781421,458,Nasdaq,1h / 1h  (≈2 yr)
3,2.0,10,5,-5.8524403178119195,-0.45451826265411577,0.5082882057635998,0.29968782518210196,-0.7007165318992021,-0.7038254443504753,961,Nasdaq,1h / 1h  (≈2 yr)
3,2.0,10,10,-5.173797736869189,-0.4054263945787637,0.49825426979662685,0.3,-0.6451167351372213,-0.6482708600917979,720,Nasdaq,1h / 1h  (≈2 yr)
3,2.0,10,15,-4.56510997004227,-0.33987097848687386,0.5081007220801543,0.2949389179755672,-0.561911160505763,-0.563046451170187,573,Nasdaq,1h / 1h  (≈2 yr)
3,2.0,10,20,-5.06333966967054,-0.33186887566311063,0.4313595507594712,0.27510917030567683,-0.5516043442479562,-0.5551937217781421,458,Nasdaq,1h / 1h  (≈2 yr)
3,2.0,15,5,-5.8524403178119195,-0.45451826265411577,0.5082882057635998,0.29968782518210196,-0.7007165318992021,-0.7038254443504753,961,Nasdaq,1h / 1h  (≈2 yr)
3,2.0,15,10,-5.173797736869189,-0.4054263945787637,0.49825426979662685,0.3,-0.6451167351372213,-0.6482708600917979,720,Nasdaq,1h / 1h  (≈2 yr)
