rr,sl_buffer_atr,swing_lookback,use_body_filter,use_breakeven,use_trend_filter,n,wr,pf,sharpe,total_ret,max_dd,avg_win,avg_loss,avg_pnl,expectancy
0.5,0.1,5,True,True,True,537,0.48789571694599626,0.5424406749031715,-3.6058110108464354,-0.34912783669716596,-0.3727899845316494,0.0019255912352077664,-0.0033820533208253874,-0.0007924762748650777,-0.0007924762748650776
0.5,0.1,5,True,True,False,660,0.5015151515151515,0.538007390294734,-4.16385931534369,-0.40430631418625185,-0.4367285226255554,0.0018068656491578112,-0.003378856253017479,-0.0007781381475325985,-0.0007781381475325987
0.5,0.1,5,True,False,True,537,0.48789571694599626,0.5424406749031715,-3.6058110108464354,-0.34912783669716596,-0.3727899845316494,0.0019255912352077664,-0.0033820533208253874,-0.0007924762748650777,-0.0007924762748650776
0.5,0.1,5,True,False,False,660,0.5015151515151515,0.538007390294734,-4.16385931534369,-0.40430631418625185,-0.4367285226255554,0.0018068656491578112,-0.003378856253017479,-0.0007781381475325985,-0.0007781381475325987
0.5,0.1,5,False,True,True,712,0.5070224719101124,0.7772452524615124,-1.6825108838745693,-0.2608445168437209,-0.2891308707662087,0.0028486061491535667,-0.0037694189964124587,-0.00041393152794429156,-0.0004139315279442911
0.5,0.1,5,False,True,False,880,0.5147727272727273,0.7312129934685203,-2.3383428071858936,-0.3556346089519268,-0.3822376601932459,0.0025876890554006257,-0.0037543824914228704,-0.0004896570247057755,-0.0004896570247057753
0.5,0.1,5,False,False,True,712,0.5070224719101124,0.7772452524615124,-1.6825108838745693,-0.2608445168437209,-0.2891308707662087,0.0028486061491535667,-0.0037694189964124587,-0.00041393152794429156,-0.0004139315279442911
0.5,0.1,5,False,False,False,880,0.5147727272727273,0.7312129934685203,-2.3383428071858936,-0.3556346089519268,-0.3822376601932459,0.0025876890554006257,-0.0037543824914228704,-0.0004896570247057755,-0.0004896570247057753
0.5,0.1,10,True,True,True,422,0.504739336492891,0.6159175151723986,-2.5063940938733147,-0.24944998815717812,-0.27852176709346127,0.0021345959844640073,-0.0035320468123389384,-0.0006718692869383993,-0.0006718692869383991
0.5,0.1,10,True,True,False,478,0.5167364016736402,0.603878855731799,-2.717783377107733,-0.28350239695015367,-0.31680105435234884,0.002034096903981426,-0.0036016938036237565,-0.0006894755927901162,-0.0006894755927901158
0.5,0.1,10,True,False,True,422,0.504739336492891,0.6159175151723986,-2.5063940938733147,-0.24944998815717812,-0.27852176709346127,0.0021345959844640073,-0.0035320468123389384,-0.0006718692869383993,-0.0006718692869383991
0.5,0.1,10,True,False,False,478,0.5167364016736402,0.603878855731799,-2.717783377107733,-0.28350239695015367,-0.31680105435234884,0.002034096903981426,-0.0036016938036237565,-0.0006894755927901162,-0.0006894755927901158
0.5,0.1,10,False,True,True,566,0.5353356890459364,0.8459857394300546,-0.9700619395372259,-0.15183109881308443,-0.20630742098742133,0.002872334614730212,-0.003911639920294638,-0.0002799362381170238,-0.00027993623811702387
0.5,0.1,10,False,True,False,648,0.5339506172839507,0.7725557529737997,-1.5358558485989333,-0.2410303419282228,-0.26845382814058344,0.002641408151993016,-0.003917191818391102,-0.000415223315686002,-0.0004152233156860018
0.5,0.1,10,False,False,True,566,0.5353356890459364,0.8459857394300546,-0.9700619395372259,-0.15183109881308443,-0.20630742098742133,0.002872334614730212,-0.003911639920294638,-0.0002799362381170238,-0.00027993623811702387
0.5,0.1,10,False,False,False,648,0.5339506172839507,0.7725557529737997,-1.5358558485989333,-0.2410303419282228,-0.26845382814058344,0.002641408151993016,-0.003917191818391102,-0.000415223315686002,-0.0004152233156860018
0.5,0.1,15,True,True,True,362,0.505524861878453,0.6116817088834917,-2.4570307580666224,-0.23192522103004964,-0.24814283123058004,0.0022440147639717425,-0.003750578629328477,-0.0007201626321628962,-0.0007201626321628966
0.5,0.1,15,True,True,False,389,0.5089974293059126,0.6270981354856366,-2.4100049980537652,-0.23676002525290352,-0.25729714491072636,0.002266033826278328,-0.0037459562602343544,-0.0006858687611867682,-0.0006858687611867675
0.5,0.1,15,True,False,True,362,0.505524861878453,0.6116817088834917,-2.4570307580666224,-0.23192522103004964,-0.24814283123058004,0.0022440147639717425,-0.003750578629328477,-0.0007201626321628962,-0.0007201626321628966
0.5,0.1,15,True,False,False,389,0.5089974293059126,0.6270981354856366,-2.4100049980537652,-0.23676002525290352,-0.25729714491072636,0.002266033826278328,-0.0037459562602343544,-0.0006858687611867682,-0.0006858687611867675
0.5,0.1,15,False,True,True,485,0.5257731958762887,0.8135513938250575,-1.1573390490088717,-0.16470601453658584,-0.19866031968255282,0.0029831606859432184,-0.004065406693842635,-0.00035945889622326845,-0.0003594588962232688
0.5,0.1,15,False,True,False,526,0.5209125475285171,0.7932218354360455,-1.3506122842092079,-0.19355808654882378,-0.21404394022085899,0.0029291474762363524,-0.004015102154369537,-0.0003977553886166588,-0.0003977553886166589
